"Step","train/loss","fresh-mountain-14 - train/loss__MIN","fresh-mountain-14 - train/loss__MAX","eval/loss","fresh-mountain-14 - eval/loss__MIN","fresh-mountain-14 - eval/loss__MAX"
"393","3.1775","3.1775","3.1775","","",""
"394","1.8572","1.8572","1.8572","","",""
"395","2.2828","2.2828","2.2828","","",""
"396","3.6318","3.6318","3.6318","","",""
"397","1.7529","1.7529","1.7529","","",""
"398","3.1287","3.1287","3.1287","","",""
"399","1.5593","1.5593","1.5593","","",""
"400","1.0143","1.0143","1.0143","","",""
"401","1.6108","1.6108","1.6108","","",""
"402","1.8674","1.8674","1.8674","","",""
"403","1.0634","1.0634","1.0634","","",""
"404","1.5416","1.5416","1.5416","","",""
"405","1.5429","1.5429","1.5429","","",""
"406","1.613","1.613","1.613","","",""
"407","2.1023","2.1023","2.1023","","",""
"408","0.7974","0.7974","0.7974","","",""
"409","2.1126","2.1126","2.1126","","",""
"410","1.824","1.824","1.824","","",""
"411","2.0503","2.0503","2.0503","","",""
"412","1.4953","1.4953","1.4953","","",""
"413","1.9599","1.9599","1.9599","","",""
"414","2.2137","2.2137","2.2137","","",""
"415","2.058","2.058","2.058","","",""
"416","1.753","1.753","1.753","","",""
"417","2.4343","2.4343","2.4343","","",""
"418","2.2122","2.2122","2.2122","","",""
"419","2.6302","2.6302","2.6302","","",""
"420","1.4397","1.4397","1.4397","","",""
"421","2.5223","2.5223","2.5223","","",""
"422","2.1549","2.1549","2.1549","","",""
"423","2.4528","2.4528","2.4528","","",""
"424","1.9541","1.9541","1.9541","","",""
"425","2.3506","2.3506","2.3506","","",""
"426","1.6019","1.6019","1.6019","","",""
"427","2.076","2.076","2.076","","",""
"428","2.2611","2.2611","2.2611","","",""
"429","2.3508","2.3508","2.3508","","",""
"430","2.2048","2.2048","2.2048","","",""
"431","1.9799","1.9799","1.9799","","",""
"432","2.9567","2.9567","2.9567","","",""
"433","2.5394","2.5394","2.5394","","",""
"434","2.4817","2.4817","2.4817","","",""
"435","2.0099","2.0099","2.0099","","",""
"436","1.8227","1.8227","1.8227","","",""
"437","2.0072","2.0072","2.0072","","",""
"438","2.0815","2.0815","2.0815","","",""
"439","2.0974","2.0974","2.0974","","",""
"440","2.2202","2.2202","2.2202","","",""
"441","2.5729","2.5729","2.5729","","",""
"442","1.5272","1.5272","1.5272","","",""
"443","1.8286","1.8286","1.8286","","",""
"444","1.3474","1.3474","1.3474","","",""
"445","1.6289","1.6289","1.6289","","",""
"446","1.7952","1.7952","1.7952","","",""
"447","2.5874","2.5874","2.5874","","",""
"448","1.4171","1.4171","1.4171","","",""
"449","1.444","1.444","1.444","","",""
"450","2.6122","2.6122","2.6122","","",""
"451","2.2677","2.2677","2.2677","","",""
"452","2.4238","2.4238","2.4238","","",""
"453","2.4198","2.4198","2.4198","","",""
"454","1.2938","1.2938","1.2938","","",""
"455","2.4115","2.4115","2.4115","","",""
"456","2.1363","2.1363","2.1363","","",""
"457","2.3461","2.3461","2.3461","","",""
"458","2.3035","2.3035","2.3035","","",""
"459","2.725","2.725","2.725","","",""
"460","2.4013","2.4013","2.4013","","",""
"461","2.7708","2.7708","2.7708","","",""
"462","1.6717","1.6717","1.6717","","",""
"463","2.5003","2.5003","2.5003","","",""
"464","2.7519","2.7519","2.7519","","",""
"465","1.7963","1.7963","1.7963","","",""
"466","1.4159","1.4159","1.4159","","",""
"467","1.9545","1.9545","1.9545","","",""
"468","2.1953","2.1953","2.1953","","",""
"469","2.3381","2.3381","2.3381","","",""
"470","2.6873","2.6873","2.6873","","",""
"471","2.0309","2.0309","2.0309","","",""
"472","2.8006","2.8006","2.8006","","",""
"473","1.9279","1.9279","1.9279","","",""
"474","1.5548","1.5548","1.5548","","",""
"475","2.6813","2.6813","2.6813","","",""
"476","1.9396","1.9396","1.9396","","",""
"477","2.0224","2.0224","2.0224","","",""
"478","1.7063","1.7063","1.7063","","",""
"479","2.0992","2.0992","2.0992","","",""
"480","1.677","1.677","1.677","","",""
"481","2.4637","2.4637","2.4637","","",""
"482","2.3266","2.3266","2.3266","","",""
"483","2.8633","2.8633","2.8633","","",""
"484","2.7855","2.7855","2.7855","","",""
"485","1.9354","1.9354","1.9354","","",""
"486","2.0047","2.0047","2.0047","","",""
"487","2.3519","2.3519","2.3519","","",""
"488","2.7614","2.7614","2.7614","","",""
"489","2.2462","2.2462","2.2462","","",""
"490","2.0945","2.0945","2.0945","","",""
"491","2.5598","2.5598","2.5598","","",""
"492","1.9716","1.9716","1.9716","","",""
"493","1.3602","1.3602","1.3602","","",""
"494","3.4495","3.4495","3.4495","","",""
"495","1.9484","1.9484","1.9484","","",""
"496","2.3953","2.3953","2.3953","","",""
"497","1.3128","1.3128","1.3128","","",""
"498","2.0445","2.0445","2.0445","","",""
