"Step","train/loss","good-gorge-19 - train/loss__MIN","good-gorge-19 - train/loss__MAX","eval/loss","good-gorge-19 - eval/loss__MIN","good-gorge-19 - eval/loss__MAX"
"457","0.9973","0.9973","0.9973","","",""
"458","1.7458","1.7458","1.7458","","",""
"459","0.9839","0.9839","0.9839","","",""
"460","0.6935","0.6935","0.6935","","",""
"461","1.9725","1.9725","1.9725","","",""
"462","1.389","1.389","1.389","","",""
"463","1.8577","1.8577","1.8577","","",""
"464","1.473","1.473","1.473","","",""
"465","1.8175","1.8175","1.8175","","",""
"466","0.991","0.991","0.991","","",""
"467","1.5341","1.5341","1.5341","","",""
"468","1.5721","1.5721","1.5721","","",""
"469","1.4971","1.4971","1.4971","","",""
"470","1.8014","1.8014","1.8014","","",""
"471","1.625","1.625","1.625","","",""
"472","1.8065","1.8065","1.8065","","",""
"473","1.8739","1.8739","1.8739","","",""
"474","0.6575","0.6575","0.6575","","",""
"475","2.0463","2.0463","2.0463","","",""
"476","1.4854","1.4854","1.4854","","",""
"477","0.9923","0.9923","0.9923","","",""
"478","1.9079","1.9079","1.9079","","",""
"479","1.508","1.508","1.508","","",""
"480","1.9411","1.9411","1.9411","","",""
"481","1.5112","1.5112","1.5112","","",""
"482","1.6077","1.6077","1.6077","","",""
"483","1.7224","1.7224","1.7224","","",""
"484","1.5005","1.5005","1.5005","","",""
"485","0.9712","0.9712","0.9712","","",""
"486","1.8096","1.8096","1.8096","","",""
"487","1.7192","1.7192","1.7192","","",""
"488","1.5631","1.5631","1.5631","","",""
"489","1.4081","1.4081","1.4081","","",""
"490","0.7201","0.7201","0.7201","","",""
"491","1.6273","1.6273","1.6273","","",""
"492","1.5791","1.5791","1.5791","","",""
"493","1.5522","1.5522","1.5522","","",""
"494","1.7507","1.7507","1.7507","","",""
"495","2.0263","2.0263","2.0263","","",""
"496","1.7051","1.7051","1.7051","","",""
"497","1.6916","1.6916","1.6916","","",""
"498","1.5044","1.5044","1.5044","","",""
"499","1.5913","1.5913","1.5913","","",""
"500","1.3584","1.3584","1.3584","","",""
"501","0.9649","0.9649","0.9649","","",""
"502","1.717","1.717","1.717","","",""
"503","1.6998","1.6998","1.6998","","",""
"504","","","","1.6858693361282349","1.6858693361282349","1.6858693361282349"
"505","1.5292","1.5292","1.5292","","",""
"506","1.5287","1.5287","1.5287","","",""
